:START_ID,:END_ID,:TYPE
16239,50749,主要用于治疗
16239,50748,主要用于治疗
16911,44241,主要用于治疗
16911,39512,主要用于治疗
16911,50489,主要用于治疗
45579,50724,主要用于治疗
45579,50723,主要用于治疗
45579,50722,主要用于治疗
45927,50513,主要用于治疗
45927,50486,主要用于治疗
46492,50896,主要用于治疗
46492,50895,主要用于治疗
46739,50851,主要用于治疗
46824,44599,主要用于治疗
46824,50494,主要用于治疗
46824,50493,主要用于治疗
46824,50492,主要用于治疗
46954,50946,主要用于治疗
46954,50945,主要用于治疗
46954,50944,主要用于治疗
47000,50519,主要用于治疗
47001,50534,主要用于治疗
47017,41989,主要用于治疗
47017,51237,主要用于治疗
47017,51236,主要用于治疗
47017,41390,主要用于治疗
47022,41989,主要用于治疗
47022,50564,主要用于治疗
47023,50516,主要用于治疗
47023,50515,主要用于治疗
47023,50514,主要用于治疗
47162,50518,主要用于治疗
47162,39935,主要用于治疗
47242,50527,主要用于治疗
47242,44229,主要用于治疗
47242,39072,主要用于治疗
47784,50544,主要用于治疗
47784,50543,主要用于治疗
47784,50542,主要用于治疗
48170,50517,主要用于治疗
48693,50796,主要用于治疗
48693,43529,主要用于治疗
48693,42401,主要用于治疗
49610,49613,主要用于治疗
49610,49612,主要用于治疗
49610,44011,主要用于治疗
49635,40229,主要用于治疗
49683,50932,主要用于治疗
49683,49613,主要用于治疗
49965,50552,主要用于治疗
49965,50551,主要用于治疗
49965,50550,主要用于治疗
50101,43120,主要用于治疗
50101,40229,主要用于治疗
50223,44229,主要用于治疗
50223,50860,主要用于治疗
50223,39953,主要用于治疗
50291,50833,主要用于治疗
50291,40533,主要用于治疗
50291,50832,主要用于治疗
50312,50713,主要用于治疗
50395,50917,主要用于治疗
50395,40369,主要用于治疗
50484,50488,主要用于治疗
50484,50487,主要用于治疗
50484,50486,主要用于治疗
50495,50496,主要用于治疗
50497,50498,主要用于治疗
50499,50500,主要用于治疗
50501,50502,主要用于治疗
50503,50505,主要用于治疗
50503,50504,主要用于治疗
50508,50509,主要用于治疗
50510,2367,主要用于治疗
50545,50547,主要用于治疗
50545,50546,主要用于治疗
50553,41989,主要用于治疗
50562,50563,主要用于治疗
50565,50568,主要用于治疗
50565,50567,主要用于治疗
50565,50566,主要用于治疗
50674,50675,主要用于治疗
50676,50677,主要用于治疗
50835,50836,主要用于治疗
51240,51246,主要用于治疗
51240,51245,主要用于治疗
51240,51244,主要用于治疗
51240,51243,主要用于治疗
51240,51242,主要用于治疗
51240,41989,主要用于治疗
51240,51241,主要用于治疗
51365,51366,主要用于治疗
51507,41901,主要用于治疗
51507,51515,主要用于治疗
51507,51514,主要用于治疗
51507,51513,主要用于治疗
51507,51512,主要用于治疗
51532,40214,主要用于治疗
51532,40420,主要用于治疗
51532,40856,主要用于治疗
51532,51538,主要用于治疗
51539,41589,主要用于治疗
51539,51544,主要用于治疗
51539,51543,主要用于治疗
51539,50550,主要用于治疗
51715,51717,主要用于治疗
51715,51716,主要用于治疗
51741,51743,主要用于治疗
51741,51742,主要用于治疗
51762,51770,主要用于治疗
51879,51880,主要用于治疗
51903,52405,主要用于治疗
51972,51977,主要用于治疗
51972,51976,主要用于治疗
51972,51975,主要用于治疗
51972,51974,主要用于治疗
51987,51989,主要用于治疗
51987,44241,主要用于治疗
51987,44011,主要用于治疗
52067,52076,主要用于治疗
52067,40578,主要用于治疗
52067,52075,主要用于治疗
52067,9367,主要用于治疗
52067,2603,主要用于治疗
52067,52074,主要用于治疗
52067,40006,主要用于治疗
52067,52073,主要用于治疗
52067,52072,主要用于治疗
52067,52071,主要用于治疗
52067,52070,主要用于治疗
52067,52069,主要用于治疗
52067,52068,主要用于治疗
52364,39988,主要用于治疗
52364,52374,主要用于治疗
52364,42095,主要用于治疗
52364,52373,主要用于治疗
52364,52370,主要用于治疗
52364,52369,主要用于治疗
52364,52368,主要用于治疗
52364,51513,主要用于治疗
52456,52460,主要用于治疗
52456,52459,主要用于治疗
125201,50939,主要用于治疗
125201,43120,主要用于治疗
125201,50938,主要用于治疗
125201,50937,主要用于治疗
125201,50936,主要用于治疗
125201,50935,主要用于治疗
134701,41390,主要用于治疗
135663,50801,主要用于治疗
135790,50744,主要用于治疗
135790,50743,主要用于治疗
