营养素:ID,:LABEL,name
50288,营养素,氨基酸
50290,营养素,蛋白质
50292,营养素,挥发油
50293,营养素,果胶
50294,营养素,胡萝卜素
50295,营养素,脂肪
50296,营养素,碳水化合物
50297,营养素,淀粉
50298,营养素,单糖
50300,营养素,维生素
50302,营养素,维生素C
50303,营养素,膳食纤维
50304,营养素,矿物离子
50306,营养素,亚硝酸盐
50308,营养素,绞股蓝皂苷
50310,营养素,钙
50311,营养素,磷
50314,营养素,健脾胃
50316,营养素,动物蛋白
50317,营养素,水分
50319,营养素,能量
50321,营养素,维生素A
50322,营养素,维生素B1
50323,营养素,维生素B
50324,营养素,维生素D
50325,营养素,烟酸
50326,营养素,铁
50327,营养素,核黄素
50328,营养素,尼克酸
50329,营养素,茶多酚
50330,营养素,硒
50331,营养素,锌
50332,营养素,生物碱
50334,营养素,维生素E
50335,营养素,胶原蛋白
50336,营养素,B族维生素
50339,营养素,水浸生物
50340,营养素,多酚类
50341,营养素,糖
50342,营养素,丰富的铁
50343,营养素,钙等微量元素
50350,营养素,枸杞子
50351,营养素,三七
50359,营养素,钾
50360,营养素,健康汤品
50361,营养素,糖类
50362,营养素,促食欲
50363,营养素,养精神
50364,营养素,益脾胃
50368,营养素,酒石酸
50369,营养素,柠檬酸
50370,营养素,山楂酸
50371,营养素,苹果酸
50372,营养素,纤维素
50373,营养素,淀粉等糖类
50523,营养素,维生素B2
50575,营养素,单宁
50576,营养素,粗蛋白
50577,营养素,粗脂肪
50578,营养素,微量元素
50631,营养素,茶氨酸
50705,营养素,养阴润肺
50706,营养素,清热凉血
50707,营养素,多种维生素
50728,营养素,矿物质
50786,营养素,多种蛋白质
50864,营养素,果酸
50865,营养素,脂肪和铁
50927,营养素,葛粉
50928,营养素,豆沙
50930,营养素,乳酸菌
50952,营养素,甘露聚糖
50953,营养素,黄酮
50997,营养素,活性乳酸菌
51182,营养素,艾绒
51326,营养素,镁
51422,营养素,营养丰富
51503,营养素,咖啡碱
51876,营养素,脂肪酸
51877,营养素,鞣质
51878,营养素,甙类
51882,营养素,黄酮化合物
51883,营养素,酸类化合物
51885,营养素,酸类
51886,营养素,游离脂肪酸
51943,营养素,钙质
52089,营养素,少量维生素
52090,营养素,少量矿物质
52254,营养素,含有钙
62262,营养素,维生素B6
62265,营养素,维生素B12
62271,营养素,钠
62274,营养素,碘
62277,营养素,铜
62280,营养素,硫
62283,营养素,锰
